1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,3,1,1,1,0,1,1,0,0,1,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
2,2,0,3,1,2,0,0,1,1,0,0,0,1,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,2,0,0,0,2,1,1,1,0,1,1,0,1,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,5,2,4,0,0,0,1,0,1,0,0,0,2,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,0,2,1,4,1,1,0,1,1,0,0,0,0,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,0,1,1,3,0,1,0,6,0,0,0,0,2,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,
1,1,1,0,0,3,0,0,2,0,1,0,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,3,3,3,1,0,1,4,6,5,4,5,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,5,0,2,1,5,0,0,0,2,1,1,2,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,0,0,0,0,0,0,1,1,1,2,3,2,1,
1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,
1,2,0,0,1,0,1,1,0,1,1,2,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,1,3,7,2,3,5,8,7,3,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
4,2,3,3,0,2,3,2,0,0,1,0,0,0,1,
1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,
3,0,1,0,1,2,2,0,1,1,1,0,0,0,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,
2,1,1,4,4,0,1,4,5,4,3,2,1,0,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,2,3,0,3,0,1,1,2,0,0,1,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
3,0,1,1,0,1,3,1,0,1,0,0,0,1,1,
1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,
1,1,2,2,3,6,2,2,3,0,1,0,1,0,1,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,
2,2,1,1,1,0,0,0,1,0,1,0,1,0,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
5,2,2,1,2,2,0,0,0,1,1,0,0,0,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,4,1,0,0,1,1,2,3,3,2,0,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,2,3,2,3,0,1,2,1,0,1,1,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,0,1,0,7,6,1,6,1,3,6,11,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,2,1,0,1,4,0,0,0,4,0,2,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,2,4,8,7,8,10,11,21,6,15,11,15,23,23,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,2,3,2,3,3,1,2,2,0,0,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,0,4,2,2,0,0,0,2,1,2,0,4,5,8,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,2,1,3,0,1,0,1,1,0,0,0,0,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,4,1,1,2,0,0,1,0,0,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,5,2,1,1,0,1,0,1,1,3,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,2,2,2,3,1,0,1,1,2,0,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,2,1,5,1,2,0,3,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,6,6,0,0,4,0,0,4,3,1,0,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
8,10,14,13,22,23,28,31,50,30,25,27,50,59,80,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,1,0,2,10,6,5,1,2,0,1,8,4,4,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,1,0,0,0,0,1,2,0,1,1,0,0,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,4,2,3,0,5,8,5,1,1,2,0,2,2,4,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,6,1,2,4,1,0,0,2,0,0,0,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,1,3,3,4,2,4,2,3,0,2,0,0,2,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
3,4,2,4,0,1,2,0,2,0,1,0,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
10,2,0,2,0,1,2,1,0,1,0,2,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,4,5,3,8,9,6,9,4,2,1,1,3,4,3,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,2,0,1,0,2,1,2,0,2,1,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,3,0,1,0,3,1,1,1,3,2,0,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,5,0,5,1,1,0,1,1,0,0,0,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,6,8,3,7,4,5,7,3,3,1,4,5,4,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,2,2,3,2,1,1,0,4,7,0,4,5,2,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,1,1,1,2,3,0,1,1,0,0,0,0,1,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,3,5,1,1,3,3,2,1,2,0,1,1,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,3,2,3,0,1,1,0,0,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,8,5,0,4,6,4,1,5,2,1,1,2,2,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,10,9,7,5,11,6,8,0,2,2,4,3,6,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,5,1,1,5,10,9,3,3,6,1,2,1,0,3,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,3,2,5,1,1,1,2,0,0,0,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
4,3,2,0,1,2,0,1,1,0,0,0,0,0,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,1,0,4,1,2,1,0,1,1,1,0,1,3,2,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,1,5,3,5,6,5,2,2,0,1,2,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,7,6,10,11,8,9,4,2,3,2,4,6,7,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,1,2,0,1,0,0,0,1,0,1,1,0,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,0,0,0,1,3,2,2,7,5,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,0,1,0,0,1,1,0,4,5,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,0,0,1,1,2,0,0,0,1,0,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,2,1,3,2,3,3,3,5,6,5,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,4,4,3,3,2,3,1,4,1,2,6,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,0,2,0,1,0,2,0,0,1,2,2,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,12,4,2,1,2,1,5,0,0,0,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
7,7,13,13,20,16,20,16,11,7,7,6,6,3,4,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,2,0,1,1,0,1,0,1,1,0,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,0,1,1,1,1,2,2,1,0,1,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
9,1,1,0,1,2,2,1,0,1,1,0,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,0,2,3,5,1,1,0,0,0,1,2,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,3,1,0,1,3,6,4,1,1,7,4,3,5,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,1,2,1,2,2,1,1,0,0,0,0,0,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,0,0,2,2,1,1,0,0,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
12,6,8,7,14,8,3,9,2,5,3,0,2,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,1,4,1,2,4,0,5,0,1,2,3,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,1,0,0,1,2,1,3,3,2,2,6,5,2,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,3,0,0,2,0,1,0,0,0,1,0,1,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,0,0,0,0,2,3,0,1,1,1,0,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,3,1,1,1,1,0,0,0,3,0,0,2,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,0,1,0,1,0,0,1,1,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,3,0,1,0,0,2,1,1,0,2,0,1,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,0,2,0,0,0,1,1,1,1,0,1,1,2,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,2,0,0,0,1,1,0,1,1,1,1,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,0,1,2,1,0,4,1,3,0,3,5,7,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,0,5,1,5,6,4,2,1,4,1,2,4,2,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,1,0,3,1,1,1,0,0,1,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,2,0,1,1,5,2,2,1,1,0,1,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,1,1,0,4,0,0,0,1,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,4,0,0,1,2,1,0,0,3,0,0,2,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,0,0,0,0,1,1,1,0,1,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,1,2,1,1,1,1,1,0,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,4,0,4,1,1,0,0,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,7,0,5,4,7,2,1,1,2,3,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,2,1,3,1,0,1,1,0,0,1,0,0,1,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,4,1,1,1,2,2,1,0,0,0,0,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,5,4,9,7,9,3,1,1,3,2,1,0,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,2,3,4,1,1,3,2,2,0,0,0,3,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
4,2,0,3,4,1,0,0,5,4,3,1,1,0,2,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,1,0,1,0,2,0,0,0,2,1,0,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,0,3,1,3,2,4,0,1,0,1,1,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
3,4,7,1,2,3,0,1,2,0,0,3,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,0,0,0,1,0,3,2,1,1,2,0,3,2,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,2,3,3,1,1,4,3,1,1,0,2,0,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
3,1,0,0,2,1,2,0,2,0,1,0,2,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,0,1,1,2,2,1,1,1,0,1,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,3,5,5,2,2,4,4,2,0,2,1,1,2,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,0,1,2,2,2,4,1,1,2,0,2,1,3,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,0,0,0,2,0,1,1,4,1,1,3,1,7,5,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,0,2,3,0,0,2,4,2,3,1,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,1,1,0,3,1,0,1,0,4,2,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,1,2,0,2,0,0,0,0,1,2,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,3,0,1,1,1,0,0,2,0,0,0,1,0,2,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,1,0,0,1,0,4,0,0,2,1,1,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,0,1,1,2,1,0,1,1,0,0,2,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,1,0,1,0,1,1,5,2,2,2,0,1,2,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,4,1,3,1,1,0,0,0,1,1,0,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,4,0,2,2,2,0,0,0,2,0,1,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,1,0,0,2,1,1,0,3,1,0,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,1,2,0,1,0,1,0,0,1,0,0,1,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,2,1,1,3,3,2,1,0,0,1,0,0,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
4,0,4,0,6,0,4,1,3,0,1,3,2,0,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,0,0,2,0,2,2,2,0,0,1,2,2,2,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,3,0,1,1,2,2,2,0,0,2,0,1,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,1,1,1,1,3,1,3,1,0,0,2,2,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,0,0,2,1,2,1,0,0,0,1,0,2,1,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,1,0,1,2,1,1,0,0,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,0,3,1,2,1,2,0,0,1,0,1,0,2,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,4,2,1,0,0,1,2,1,2,2,7,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,2,0,1,0,1,0,0,2,1,1,1,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
3,2,1,0,1,0,1,0,0,1,0,1,0,0,2,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,3,3,3,2,0,1,3,1,0,0,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,3,2,2,2,10,3,1,5,0,0,1,1,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
3,3,4,5,0,4,1,1,0,1,1,0,0,3,2,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,3,2,4,2,2,1,2,0,0,1,2,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,3,3,1,2,1,0,1,0,0,2,0,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,1,0,0,1,1,1,0,2,2,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,1,0,1,1,2,0,3,2,3,2,3,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,1,1,0,0,1,1,2,0,0,0,0,1,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,1,1,1,0,2,1,1,1,0,0,0,0,2,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,0,0,2,1,1,0,1,1,1,0,0,0,4,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,0,4,2,5,7,1,12,5,7,8,14,20,21,33,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,1,3,2,2,1,3,1,1,1,0,2,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,0,1,0,1,1,1,2,0,0,0,0,0,2,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,0,1,0,1,0,0,1,1,0,3,2,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,6,0,1,2,2,0,0,0,0,2,0,1,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,1,1,1,4,0,1,2,0,0,0,0,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,2,0,1,1,0,0,1,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
3,1,0,0,0,0,3,1,1,0,4,1,0,0,2,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,0,0,1,1,0,2,1,2,0,1,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,1,3,4,2,4,0,2,0,0,2,0,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,1,0,2,4,3,1,1,0,0,0,0,2,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,1,0,3,1,3,2,0,1,3,2,2,2,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,2,2,0,1,1,1,1,0,0,0,0,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,2,0,0,2,3,1,8,1,3,2,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,1,0,1,2,0,1,0,0,0,4,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
3,2,1,1,1,3,3,2,0,1,0,0,1,2,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,2,2,0,1,0,0,2,1,1,0,0,0,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
4,2,2,3,2,1,6,1,4,0,1,0,2,1,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,2,0,1,1,2,2,0,1,0,0,0,1,1,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,2,2,1,1,2,0,1,0,3,0,1,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,2,3,0,0,1,1,1,0,1,0,0,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
4,4,3,3,0,5,2,1,0,1,3,0,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,2,1,1,1,0,1,2,0,0,1,0,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
3,1,1,0,0,0,0,1,1,1,1,1,2,1,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
3,2,2,1,1,0,0,1,0,0,0,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,2,5,13,3,4,1,6,0,0,0,1,0,0,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,3,0,2,0,2,2,0,1,2,0,0,0,0,4,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,1,0,1,1,1,1,2,0,0,2,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,1,0,3,1,2,5,4,1,3,5,3,1,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,2,0,0,1,1,1,0,0,0,0,1,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,3,1,0,1,1,2,0,0,0,0,1,1,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,0,4,4,3,0,1,3,0,0,3,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,2,2,0,1,4,1,1,2,1,2,3,1,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
4,1,1,0,2,0,1,4,0,2,2,0,1,0,3,
