1,2,1,0,0,0,1,1,0,1,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,1,1,2,0,1,1,0,2,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
3,3,6,2,1,4,3,4,1,1,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,3,2,5,2,0,0,3,3,3,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,3,0,2,1,0,0,1,0,0,1,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,5,4,4,5,3,1,0,0,2,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,2,1,0,1,1,1,3,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,3,4,5,0,1,2,0,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,1,1,0,0,1,1,2,0,0,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,2,1,4,2,1,0,2,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,0,2,2,1,1,2,0,0,0,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,3,3,4,2,6,5,10,9,8,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,1,1,1,1,0,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
4,0,1,0,0,2,1,0,1,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,0,1,4,2,0,2,1,1,3,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,3,1,1,0,2,2,1,3,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
8,4,3,4,1,1,1,1,1,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,4,0,1,1,0,1,1,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,0,0,1,0,4,2,0,1,1,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,1,3,0,0,0,2,0,1,2,2,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,5,0,0,0,2,1,2,3,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,2,2,4,5,0,2,2,3,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,1,1,0,0,2,1,2,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,0,3,1,5,0,1,1,2,3,4,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,0,0,1,0,0,1,1,3,2,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,3,2,2,0,0,1,1,2,2,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,0,2,1,1,1,0,1,0,0,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,1,0,1,0,1,0,0,1,1,0,2,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
6,13,12,7,5,2,5,4,1,3,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,0,1,7,7,4,1,2,2,1,5,15,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,9,15,18,26,7,37,28,37,85,62,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
5,2,4,5,5,9,5,18,3,8,15,16,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,0,1,0,0,1,0,1,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,1,0,1,0,1,3,0,10,4,7,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,2,3,3,0,0,5,7,6,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,5,5,4,1,2,2,3,5,6,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,1,0,2,1,2,0,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,9,15,18,4,1,5,2,3,3,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,2,1,2,4,4,6,4,1,1,6,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,1,4,0,1,1,0,0,0,1,3,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,4,1,5,3,2,1,0,3,1,2,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,1,1,2,3,1,0,0,0,2,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,2,6,1,3,2,5,11,3,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,3,2,4,2,2,1,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,1,3,1,1,0,0,0,2,8,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,1,0,0,1,0,1,1,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,2,5,0,2,3,1,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,3,0,0,1,1,1,1,2,3,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
3,0,1,0,0,1,1,1,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,3,1,2,1,7,2,2,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,1,2,0,1,1,2,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,4,4,1,0,0,2,2,3,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,1,0,1,0,2,0,1,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,4,0,1,4,0,2,0,0,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,0,1,1,1,2,1,1,0,0,2,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,1,0,0,2,1,0,1,4,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,4,1,0,0,0,1,2,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,3,4,2,2,0,2,2,2,1,2,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,0,4,1,0,0,2,0,2,1,3,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,0,0,0,1,3,1,1,4,2,4,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,1,0,1,3,1,0,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,2,0,1,0,1,1,1,1,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
2,0,2,1,0,1,0,0,1,0,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,3,6,0,1,2,0,2,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,1,0,1,0,1,2,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,3,0,1,1,3,1,0,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,1,0,2,1,2,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,0,2,3,2,1,1,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
5,2,2,5,3,0,2,0,0,2,4,3,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,4,2,4,0,1,0,1,5,3,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,1,1,2,1,4,6,7,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,0,1,1,1,0,0,0,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,2,4,0,0,2,0,1,2,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,
1,1,1,0,1,1,5,0,0,1,0,1,
1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,
1,2,3,2,1,0,0,0,1,1,0,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,
6,1,1,4,2,0,0,0,2,2,1,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,
3,2,2,0,0,0,3,1,1,0,1,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,
2,2,3,3,0,0,0,1,0,2,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
4,1,1,2,1,0,1,1,0,0,0,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,
1,0,1,1,1,1,0,1,2,2,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,5,7,0,3,1,3,3,3,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,
1,1,1,1,0,0,0,1,1,0,0,1,
1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,
3,2,1,2,2,1,0,1,1,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,4,3,3,0,3,1,0,0,2,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,
5,3,7,6,4,2,2,1,2,2,6,1,
1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,
1,1,3,2,1,1,0,0,0,0,0,1,
1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,
1,0,0,2,0,0,1,1,1,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
4,2,1,2,5,3,4,2,0,0,1,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,
5,1,2,0,0,1,2,1,1,0,0,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,
4,4,2,0,2,0,0,1,1,2,0,3,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
2,1,1,3,1,0,1,0,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,9,4,14,15,11,4,3,13,10,7,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,0,3,1,0,1,1,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,1,1,1,1,2,0,0,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,4,0,0,2,1,3,1,5,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,4,8,7,5,10,2,2,3,6,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,0,0,2,1,0,1,3,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,2,2,0,1,1,0,1,0,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,0,3,3,0,1,2,1,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,1,1,1,0,1,1,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,2,1,1,0,1,0,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,4,4,2,14,12,5,12,14,24,16,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,6,5,2,3,6,1,1,1,1,2,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,3,3,1,1,1,0,0,0,2,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,2,1,1,0,0,0,3,1,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,4,1,8,4,7,6,3,1,3,0,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
4,2,1,0,1,0,1,1,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,6,7,7,7,5,3,3,3,3,3,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,2,3,1,1,0,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,1,1,0,0,0,0,2,0,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,5,1,0,1,0,1,0,1,1,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,2,1,0,0,1,0,1,1,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,2,1,1,2,3,1,0,0,0,2,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,3,1,6,5,3,1,4,1,2,2,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,1,0,2,0,1,1,0,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,3,1,1,0,1,0,1,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,0,0,0,1,1,1,2,1,4,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,2,5,3,0,1,1,4,1,3,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,2,2,1,1,0,0,3,4,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,6,3,2,6,3,1,1,1,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,0,0,0,2,1,0,1,1,0,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,0,1,1,1,2,0,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,1,1,0,0,0,1,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,1,3,4,2,2,1,0,2,1,2,3,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,1,3,1,2,0,0,0,0,0,2,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,1,1,1,1,1,1,0,1,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,0,2,0,1,1,0,1,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,0,1,0,1,2,0,2,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,2,0,0,0,2,1,3,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,2,3,1,2,1,0,0,6,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,4,1,2,1,0,0,3,3,2,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,1,2,0,0,0,1,1,2,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,6,2,5,4,9,4,1,2,2,1,8,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,2,0,1,1,1,1,0,0,0,3,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,3,2,0,3,1,0,1,1,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,4,9,1,4,4,1,3,3,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,2,2,0,1,0,0,1,1,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,1,1,1,0,0,0,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,1,1,3,2,0,2,5,2,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,2,0,1,0,0,0,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,4,4,0,2,0,2,1,2,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,1,1,2,0,1,1,1,0,0,1,3,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,0,0,1,1,2,1,1,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
6,1,4,9,8,8,7,2,4,3,6,15,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,0,1,1,1,2,0,0,1,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,3,1,3,0,1,1,0,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,2,1,2,2,2,1,1,2,2,3,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,4,0,1,3,4,2,1,0,0,2,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,5,3,5,2,3,4,3,3,2,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,1,0,3,3,1,0,1,0,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,0,1,2,4,1,0,1,0,1,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,0,1,1,1,2,0,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,2,4,2,2,0,1,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,3,1,1,0,0,0,2,0,2,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,3,3,0,2,0,1,3,1,4,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,0,2,5,4,3,1,0,3,1,1,3,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,1,1,1,3,1,2,1,1,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,1,1,0,0,1,0,0,0,2,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,2,1,1,1,3,2,0,1,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,2,2,4,1,1,1,0,0,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,1,0,3,1,1,3,0,2,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,2,1,2,0,0,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,0,3,1,2,0,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
4,1,3,3,7,1,0,1,1,1,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,5,0,1,4,1,3,2,3,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,2,1,4,4,0,1,0,1,1,2,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,1,0,0,0,3,2,0,0,1,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,3,3,6,3,0,1,3,2,3,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,3,1,2,6,2,0,0,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,0,1,0,1,0,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,2,0,2,5,1,1,1,2,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,0,1,1,1,2,2,0,1,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,3,5,4,3,2,0,1,1,2,5,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
6,5,6,3,0,7,0,3,0,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,1,0,0,0,1,2,2,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
2,0,0,1,1,1,1,1,0,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,2,1,1,2,0,2,0,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,0,3,1,1,2,0,1,3,2,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,3,4,2,1,1,0,0,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,2,0,1,0,1,1,1,0,0,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,4,2,0,1,2,0,0,2,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,1,2,0,2,0,3,3,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,3,3,4,4,1,0,1,4,2,4,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,0,3,2,1,1,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,2,6,2,1,2,0,3,0,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,2,3,3,1,1,1,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,2,2,4,2,1,2,1,5,0,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,1,2,0,2,2,2,2,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,6,0,7,3,3,6,0,4,4,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,1,2,1,1,3,2,2,4,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,2,2,1,2,0,1,1,2,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
4,3,2,3,2,3,2,2,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,3,3,2,2,1,1,1,2,4,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,2,1,1,1,0,1,2,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,1,4,2,7,1,1,0,0,0,0,4,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,2,0,2,3,0,2,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,0,0,0,0,1,0,1,1,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,1,1,2,2,0,0,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,2,1,1,2,0,0,0,1,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,1,0,0,1,1,0,2,0,1,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,1,4,0,3,0,3,1,1,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,0,1,1,1,0,1,1,3,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,1,0,2,0,1,0,2,0,1,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
4,0,1,0,5,1,2,0,0,1,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,2,1,1,1,1,0,0,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,4,4,1,0,0,0,1,1,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,1,0,0,0,1,1,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
2,1,2,1,0,0,0,1,1,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
6,4,4,6,2,1,1,3,1,0,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,3,3,0,3,1,1,0,0,0,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,1,1,0,1,0,0,2,0,0,1,2,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,2,1,0,1,1,1,0,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,2,1,1,1,2,0,0,0,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,2,2,3,0,2,1,1,4,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,1,0,1,1,0,1,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,3,1,0,1,1,0,0,0,0,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,2,7,2,3,1,5,1,1,0,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
3,3,0,1,0,4,3,1,0,0,0,2,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,3,2,4,2,1,0,1,1,0,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
4,11,7,1,3,0,2,0,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,0,0,4,2,2,5,1,1,0,0,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,0,1,1,0,1,0,1,1,1,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,1,1,0,1,0,0,1,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
2,1,0,4,3,0,2,4,0,1,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,2,4,1,6,2,0,0,1,1,2,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
2,3,1,5,1,2,0,3,0,1,0,1,
